Hate_Speech,TARGET,dialoGPT,BART,BERT,T5,gpt2,dialoGPT_deco,gpt2_deco,BERT_deco,BART_deco,T5_deco,gpt2_suitable,gpt2_specific,gpt2_grammar,gpt2_choose_or_not,gpt2_is_best,T5_suitable,T5_specific,T5_grammar,T5_choose_or_not,T5_is_best,BART_suitable,BART_specific,BART_grammar,BART_choose_or_not,BART_is_best,dialoGPT_suitable,dialoGPT_specific,dialoGPT_grammar,dialoGPT_choose_or_not,dialoGPT_is_best,BERT_suitable,BERT_specific,BERT_grammar,BERT_choose_or_not,BERT_is_best,Annotator
blind people don't know what's going on,DISABLED,I think most people who identify as blind would say that they have never experienced a social event.,"The problem is that blind people are not aware of what is going on, they just want to be accepted as human beings.","this is not true, it is a myth that people are discriminated against for their religion. it is about the right to live their life as they wish, regardless of their religion, and to choose their own life.","Blind people are blind, they are just 'blind'. But the fact is, even the darkest people can't recognize what's going on.",I think it is necessary to ask those that are blind or if you are just curious about what's going on in the world.,tp,tk,tp,tp,tk,2,3,5,1,1,2,3,5,1,0,2,2,5,1,0,1,2,5,0,0,1,1,5,0,0,one
blind people don't know what's going on,DISABLED,I think most people who identify as blind would say that they have never experienced a social event.,"The problem is that blind people are not aware of what is going on, they just want to be accepted as human beings.","this is not true, it is a myth that people are discriminated against for their religion. it is about the right to live their life as they wish, regardless of their religion, and to choose their own life.","Blind people are blind, they are just 'blind'. But the fact is, even the darkest people can't recognize what's going on.",I think it is necessary to ask those that are blind or if you are just curious about what's going on in the world.,tp,tk,tp,tp,tk,3,2,3,0,0,1,2,4,1,0,3,4,5,1,1,2,2,5,1,0,1,4,5,0,0,two
Mentally disabled people are fucked. They are suffering from a brain injury and cannot function at work.,DISABLED,There is no evidence that mentally disabled people are suffering from a brain injury. There is also no evidence that they are suffering from a lack of education.,It is not true that mentally disabled people cannot function at work. It is just that they are suffering from a brain injury.,"this is not true, in fact, some people with down syndrome can be disabled, but it is not the case that they are disabled, they are not disabled, regardless of their physical disabilities.","If someone is suffering from a brain injury, they are not affected by it. They just need to know their right to do whatever they want.","If you really cared about them, you would know that mentally disabled people are not the problem.",bs,bs,tp,tk,kp,5,2,5,1,0,3,3,5,1,0,2,3,5,1,0,4,3,5,1,1,3,2,3,0,0,one
Mentally disabled people are fucked. They are suffering from a brain injury and cannot function at work.,DISABLED,There is no evidence that mentally disabled people are suffering from a brain injury. There is also no evidence that they are suffering from a lack of education.,It is not true that mentally disabled people cannot function at work. It is just that they are suffering from a brain injury.,"this is not true, in fact, some people with down syndrome can be disabled, but it is not the case that they are disabled, they are not disabled, regardless of their physical disabilities.","If someone is suffering from a brain injury, they are not affected by it. They just need to know their right to do whatever they want.","If you really cared about them, you would know that mentally disabled people are not the problem.",bs,bs,tp,tk,kp,5,4,5,1,1,2,3,5,0,0,5,2,5,1,0,1,3,5,0,0,1,2,1,0,0,two
Children with learning difficulties are a problem: why shouldn't they be isolated?,DISABLED,"There is no evidence that children with learning difficulties are a problem in general. In fact, many studies have shown that children with learning difficulties tend to perform better at school than children without them.","Children with learning difficulties are able to work and learn, and this is something that is important to all children, regardless of their education.","there are many children with learning difficulties, but there is no evidence that they should be isolated from society, but that they are just as capable of contributing to society, regardless of their physical disabilities.","Children with learning difficulties are not a problem, why should they be isolated from other children?","It is not the case that children with learning difficulties are a problem: they are welcome in any school. Education is a right, not a punishment.",bs,kp,kp,tk,bs,5,3,5,1,0,5,3,5,1,0,4,3,5,1,0,5,4,5,1,1,4,3,5,1,0,one
Children with learning difficulties are a problem: why shouldn't they be isolated?,DISABLED,"There is no evidence that children with learning difficulties are a problem in general. In fact, many studies have shown that children with learning difficulties tend to perform better at school than children without them.","Children with learning difficulties are able to work and learn, and this is something that is important to all children, regardless of their education.","there are many children with learning difficulties, but there is no evidence that they should be isolated from society, but that they are just as capable of contributing to society, regardless of their physical disabilities.","Children with learning difficulties are not a problem, why should they be isolated from other children?","It is not the case that children with learning difficulties are a problem: they are welcome in any school. Education is a right, not a punishment.",bs,kp,kp,tk,bs,5,4,5,1,1,5,4,5,1,0,4,3,5,1,0,4,5,5,1,0,4,5,5,1,0,two
People with Down Syndrome are a problem: they are not able to work.,DISABLED,There is no evidence that Down syndrome is a problem in the workplace. The majority of people with Down syndrome are productive members of society.,People with Down syndrome are not a problem: they are just trying to get to work.,"this is not true, there is no such thing as being disabled, in fact, it is not a problem for people with down syndrome, they are not disabled, and there is a problem with disabled people who are disabled, regardless of their physical or physical disabilities.",It is not true that people with Down syndrome are a problem: they have the right to choose their own life.,This is a myth. People with Down Syndrome are often working. They just need to be given a fair opportunity to do so.,bs,tp,tk,tk,bs,5,3,5,1,0,5,2,5,1,0,5,2,5,1,0,5,3,5,1,1,2,2,3,1,0,one
People with Down Syndrome are a problem: they are not able to work.,DISABLED,There is no evidence that Down syndrome is a problem in the workplace. The majority of people with Down syndrome are productive members of society.,People with Down syndrome are not a problem: they are just trying to get to work.,"this is not true, there is no such thing as being disabled, in fact, it is not a problem for people with down syndrome, they are not disabled, and there is a problem with disabled people who are disabled, regardless of their physical or physical disabilities.",It is not true that people with Down syndrome are a problem: they have the right to choose their own life.,This is a myth. People with Down Syndrome are often working. They just need to be given a fair opportunity to do so.,bs,tp,tk,tk,bs,5,4,5,1,1,4,3,5,1,0,4,3,5,1,0,4,4,5,1,0,2,3,2,0,0,two
"Mentally disabled folks deserve to be attacked, used, beaten.",DISABLED,"The problem of violence and homelessness is very complex, and it has nothing to do with mental health. We should be concerned about inequality, not about people suffering from mental illness.","It is not true that people with disabilities are less likely to be attacked, used, beaten, or attacked by other people.","this is not true, there is no such thing as mental illness. in fact, it's not true that all people are suffering from mental illness, regardless of their physical condition.","If we are to blame them, it is in their best interest to prevent them from being abused. We need to stop bullying and try to keep things as normal as possible.",This is not true: this is an attempt to delegitimize disabled people. The fact is that all are capable of productive work.,tp,kp,tp,kp,tp,3,2,5,1,0,3,1,5,1,1,2,2,5,1,0,2,2,5,1,0,2,2,5,1,0,one
"Mentally disabled folks deserve to be attacked, used, beaten.",DISABLED,"The problem of violence and homelessness is very complex, and it has nothing to do with mental health. We should be concerned about inequality, not about people suffering from mental illness.","It is not true that people with disabilities are less likely to be attacked, used, beaten, or attacked by other people.","this is not true, there is no such thing as mental illness. in fact, it's not true that all people are suffering from mental illness, regardless of their physical condition.","If we are to blame them, it is in their best interest to prevent them from being abused. We need to stop bullying and try to keep things as normal as possible.",This is not true: this is an attempt to delegitimize disabled people. The fact is that all are capable of productive work.,tp,kp,tp,kp,tp,5,4,5,1,1,3,2,5,0,0,2,1,5,0,0,1,3,5,0,0,1,2,4,0,0,two
There are disorders that hinder the ability to give opinions.,DISABLED,"This is not true, there are many people who suffer from mental disorders, but this does not mean that they do not contribute to our society.","People with disorders are able to express their opinions, and that is what makes them good people.","the vast majority of people with down syndrome are able to live their life as they wish, and this doesn't mean that they should be treated as equals.",Do you know that some people are able to give opinions with reasonable confidence? Why should you?,I don't think it is a disorder to be able to give an opinion.,bs,bs,kp,kp,tk,2,2,5,0,0,2,2,5,0,0,2,3,5,1,0,5,3,5,1,1,2,2,5,1,0,one
There are disorders that hinder the ability to give opinions.,DISABLED,"This is not true, there are many people who suffer from mental disorders, but this does not mean that they do not contribute to our society.","People with disorders are able to express their opinions, and that is what makes them good people.","the vast majority of people with down syndrome are able to live their life as they wish, and this doesn't mean that they should be treated as equals.",Do you know that some people are able to give opinions with reasonable confidence? Why should you?,I don't think it is a disorder to be able to give an opinion.,bs,bs,kp,kp,tk,3,2,5,0,0,2,2,4,0,0,3,3,5,1,0,4,4,5,1,1,1,1,4,0,0,two
Sharia Law is the law of Allah. Muslims must obey it.,MUSLIMS,What do you mean by 'the law of Allah'? Do you have any proof?,Sharia Law is not a law of Allah. It is a religion of peace.,what do you mean by'a religion '? do you have any proof that islam is a religion of peace? what is the point of your argument?,The Sharia Law is a law of peace and justice.,"No one is trying to impose Sharia Law on anyone, only to protect their life and property.",bs,kp,tp,kp,bs,3,2,4,1,1,2,2,5,1,0,2,2,5,1,0,3,2,5,0,0,2,2,5,0,0,one
Sharia Law is the law of Allah. Muslims must obey it.,MUSLIMS,What do you mean by 'the law of Allah'? Do you have any proof?,Sharia Law is not a law of Allah. It is a religion of peace.,what do you mean by'a religion '? do you have any proof that islam is a religion of peace? what is the point of your argument?,The Sharia Law is a law of peace and justice.,"No one is trying to impose Sharia Law on anyone, only to protect their life and property.",bs,kp,tp,kp,bs,2,2,4,1,0,1,1,5,0,0,1,2,5,0,0,4,2,5,1,1,3,3,5,1,0,two
Gays are just hating animals.,LGBT+,You can't blame people for their sexual orientation. Why would you think so? The world would be a better place without them.,I don't see how you can say that about a group of people. Maybe you should try to talk to them about their feelings.,there is no evidence that homosexuality is a problem. do you have any? don't you think it is a good thing?,You have the right to be in agreement on what you say and not just hating animals.,Why do you say that? Do you have any proof?,tk,bs,tk,kp,kp,3,1,5,0,0,2,1,3,0,0,3,2,5,1,1,1,2,5,1,0,3,2,5,1,0,one
Gays are just hating animals.,LGBT+,You can't blame people for their sexual orientation. Why would you think so? The world would be a better place without them.,I don't see how you can say that about a group of people. Maybe you should try to talk to them about their feelings.,there is no evidence that homosexuality is a problem. do you have any? don't you think it is a good thing?,You have the right to be in agreement on what you say and not just hating animals.,Why do you say that? Do you have any proof?,tk,bs,tk,kp,kp,4,1,5,1,0,1,2,3,0,0,5,4,5,1,1,3,3,5,1,0,5,3,5,1,0,two
"Muslims have nothing to contribute to our society, they are only here to undermine European values.",MUSLIMS,Many Muslims have contributed to our society. They have helped us to build our civilisation.,"Muslims are part of our society, and they have contributed greatly to our society. They are not trying to undermine European values.",the vast majority of muslims in the uk have contributed greatly to our society. they are our brothers and sisters. they have contributed to our country and contribute to our economy.,This statement is a bit unfair. But Islam has contributed a lot to our society. Not Muslims just contribute to our values.,"Islam is not a religion of hostility. It has been and is still a religion of love, tolerance and respect for people of different faiths. We all have to be open-minded to the diverse experiences of people in this country.",tk,kp,tk,bs,kp,5,3,5,1,1,5,3,4,1,0,5,3,5,1,0,5,3,5,1,0,5,3,5,1,0,one
"Muslims have nothing to contribute to our society, they are only here to undermine European values.",MUSLIMS,Many Muslims have contributed to our society. They have helped us to build our civilisation.,"Muslims are part of our society, and they have contributed greatly to our society. They are not trying to undermine European values.",the vast majority of muslims in the uk have contributed greatly to our society. they are our brothers and sisters. they have contributed to our country and contribute to our economy.,This statement is a bit unfair. But Islam has contributed a lot to our society. Not Muslims just contribute to our values.,"Islam is not a religion of hostility. It has been and is still a religion of love, tolerance and respect for people of different faiths. We all have to be open-minded to the diverse experiences of people in this country.",tk,kp,tk,bs,kp,5,5,5,1,1,3,4,3,1,0,5,3,5,1,0,3,3,5,1,0,4,5,3,1,0,two
We must isolate gays because they are spreading AIDS all around the world.,LGBT+,"Homosexuality is not a disease, it is a sexual preference and can be treated with respect. There are no signs of AIDS in the world, it's not a ""risk"" that we should be ignoring.","It is not true that gays are spreading AIDS all around the world. In fact, there are many cases of HIV/AIDs in the U.S., and this is not related to homosexuality.",it is not true that gays are harmful to society. there is no evidence that homosexuals are responsible for the health of our society. why should we ban them for their sexual orientation?,We need to know that homosexuality is not a disease and that it is not always present. How can you say no to a homosexual group?,"The problem is not because you have gays in your family, it is that you are accepting them. And what is needed is to isolate homosexuals so we can cure them. It would be much better for humanity.",tp,tk,tp,bs,tk,1,2,4,0,0,5,3,4,1,0,4,4,5,1,0,3,3,4,1,0,5,3,5,1,1,one
We must isolate gays because they are spreading AIDS all around the world.,LGBT+,"Homosexuality is not a disease, it is a sexual preference and can be treated with respect. There are no signs of AIDS in the world, it's not a ""risk"" that we should be ignoring.","It is not true that gays are spreading AIDS all around the world. In fact, there are many cases of HIV/AIDs in the U.S., and this is not related to homosexuality.",it is not true that gays are harmful to society. there is no evidence that homosexuals are responsible for the health of our society. why should we ban them for their sexual orientation?,We need to know that homosexuality is not a disease and that it is not always present. How can you say no to a homosexual group?,"The problem is not because you have gays in your family, it is that you are accepting them. And what is needed is to isolate homosexuals so we can cure them. It would be much better for humanity.",tp,tk,tp,bs,tk,1,3,5,0,0,3,4,5,1,0,4,5,5,1,0,3,4,5,1,0,5,5,5,1,1,two
"We need to bring back slavery, Jim Crow laws, segregation, and war.",POC,"And also democracy. It's better to have lived under a system of checks and balances, which would bring about the same result.","It is not true that we need to bring back slavery, Jim Crow laws, segregation, and war. It is just that we don't want to bring them back.","this is not true, it's just a myth spread by racists, and the fact that there is no such thing as'racist'is a myth, it is just an anti - american myth spread to the west, and that's why we're talking about racism and racism.",The era of slavery started with the end of the sexism movement and it is not the end of the struggle to bring back slavery. It is a race movement that hasn't been stopped by the government. We need to create a safe space for everyone to be respected regardless of the environment.,"You know, a different way of life for many people, and a chance for their children to grow up in a safe and happy home.",kp,tp,tp,kp,tk,1,1,5,0,0,2,2,5,1,0,3,2,5,1,1,2,1,5,0,0,3,2,3,1,0,one
"We need to bring back slavery, Jim Crow laws, segregation, and war.",POC,"And also democracy. It's better to have lived under a system of checks and balances, which would bring about the same result.","It is not true that we need to bring back slavery, Jim Crow laws, segregation, and war. It is just that we don't want to bring them back.","this is not true, it's just a myth spread by racists, and the fact that there is no such thing as'racist'is a myth, it is just an anti - american myth spread to the west, and that's why we're talking about racism and racism.",The era of slavery started with the end of the sexism movement and it is not the end of the struggle to bring back slavery. It is a race movement that hasn't been stopped by the government. We need to create a safe space for everyone to be respected regardless of the environment.,"You know, a different way of life for many people, and a chance for their children to grow up in a safe and happy home.",kp,tp,tp,kp,tk,2,2,3,0,0,1,2,5,0,0,3,2,5,1,1,1,2,4,0,0,1,4,1,0,0,two
Islam is a death cult and should be banned from every country in the world.,MUSLIMS,"Islam is not a religion, it is an opinion and a way of life. You have no right to be talking about its death, and the rights of an individual cannot be banned.",Islam is a religion of peace. It is not a death cult. Why should it be banned from every country in the world?,"islam is a religion of peace, and there is no reason for it to ban people from the uk, regardless of their religion, or religion of any other religion. it is not a religion that has ever been banned on the basis of their religious beliefs, and it does not seem like a threat to the whole world, nor a peaceful religion.","Islam is a religion, which means it is against the law to restrict people from praying. I think that Islam is an example of a religion that should be banned from every country in the world.","The concept of Islam itself is a religion of peace. If it were to cause death and destruction, it would be banned all over the world. And you think it is ok to ban people based on their religion?",tp,kp,kp,kp,tp,2,3,5,1,0,2,2,5,0,0,5,2,5,1,1,2,2,5,1,0,2,2,2,0,0,one
Islam is a death cult and should be banned from every country in the world.,MUSLIMS,"Islam is not a religion, it is an opinion and a way of life. You have no right to be talking about its death, and the rights of an individual cannot be banned.",Islam is a religion of peace. It is not a death cult. Why should it be banned from every country in the world?,"islam is a religion of peace, and there is no reason for it to ban people from the uk, regardless of their religion, or religion of any other religion. it is not a religion that has ever been banned on the basis of their religious beliefs, and it does not seem like a threat to the whole world, nor a peaceful religion.","Islam is a religion, which means it is against the law to restrict people from praying. I think that Islam is an example of a religion that should be banned from every country in the world.","The concept of Islam itself is a religion of peace. If it were to cause death and destruction, it would be banned all over the world. And you think it is ok to ban people based on their religion?",tp,kp,kp,kp,tp,5,5,5,1,1,1,2,4,1,0,5,3,5,1,0,4,3,5,1,0,2,3,3,0,0,two
"The Koran incite violence, in a written way.",MUSLIMS,"The Koran is a book of faith, not a book of hate, and Islam is no exception.","The Koran does not incite violence, in a written way. The Koran is a book of peace.","islam is a religion of peace, and it is not about violence. it is about love and understanding of the world's problems.","The Koran does not incite violence, it is a book of truth.","The Koran is a book of faith, not a book of hate.",kp,bs,kp,tp,bs,5,2,5,1,1,4,2,5,1,0,5,2,5,1,0,4,2,4,1,0,5,2,5,1,0,one
"The Koran incite violence, in a written way.",MUSLIMS,"The Koran is a book of faith, not a book of hate, and Islam is no exception.","The Koran does not incite violence, in a written way. The Koran is a book of peace.","islam is a religion of peace, and it is not about violence. it is about love and understanding of the world's problems.","The Koran does not incite violence, it is a book of truth.","The Koran is a book of faith, not a book of hate.",kp,bs,kp,tp,bs,5,2,5,1,0,3,3,5,1,0,3,4,5,1,0,4,2,5,1,0,5,3,5,1,1,two
"Women are nothing but trouble in my opinion. I am tired of their whining, we must silence them forever.",WOMEN,Women are human beings with full human rights and should be protected from discrimination.,Women are human beings with full human rights and deserve respect.,"women are human beings with full human rights, and they deserve respect. why should we treat them as a burden to society?","Women are human beings, and they deserve respect.","Women are human beings with human rights, and they deserve respect. Don't you agree?",bs,bs,bs,tk,bs,5,3,5,1,0,5,2,5,1,0,5,3,5,1,0,5,3,5,1,1,5,3,5,1,0,one
"Women are nothing but trouble in my opinion. I am tired of their whining, we must silence them forever.",WOMEN,Women are human beings with full human rights and should be protected from discrimination.,Women are human beings with full human rights and deserve respect.,"women are human beings with full human rights, and they deserve respect. why should we treat them as a burden to society?","Women are human beings, and they deserve respect.","Women are human beings with human rights, and they deserve respect. Don't you agree?",bs,bs,bs,tk,bs,5,2,5,1,0,4,1,5,1,0,5,2,5,0,0,5,3,5,1,1,5,3,5,1,0,two
Don't they realise that they are just workforce to us?,MIGRANTS,"This is not true. In fact, many of the migrants who enter the UK come here to work, study and provide for their families.",It is not true that they are part of our society. They are our brothers and sisters.,"the vast majority of migrants in the uk have worked hard hard to create new jobs. they are a part of our society, and they are proud of their contribution.",Why aren't they part of the equation? And why aren't they claiming they are the only workers we have a responsibility to create?,"To be honest, there is a huge gap between our needs and that of migrants. What about the needs of the homeless, for example? If migrants want to live here, then we have to help them.",bs,kp,tk,kp,kp,4,3,5,1,0,3,3,4,0,0,2,2,5,1,0,5,2,5,1,0,5,3,5,1,1,one
Don't they realise that they are just workforce to us?,MIGRANTS,"This is not true. In fact, many of the migrants who enter the UK come here to work, study and provide for their families.",It is not true that they are part of our society. They are our brothers and sisters.,"the vast majority of migrants in the uk have worked hard hard to create new jobs. they are a part of our society, and they are proud of their contribution.",Why aren't they part of the equation? And why aren't they claiming they are the only workers we have a responsibility to create?,"To be honest, there is a huge gap between our needs and that of migrants. What about the needs of the homeless, for example? If migrants want to live here, then we have to help them.",bs,kp,tk,kp,kp,5,4,5,1,1,2,2,4,0,0,1,2,5,0,0,4,3,5,1,0,4,5,5,1,0,two
"If people came here to work, our problems would be over.",MIGRANTS,Why would it be our problem to have a job that pays well?,"The problem is not about people coming here to work, it is about the integration of people who have contributed to our society.","i don't think it's fair to blame people for their problems, but i think it would be a shame to have a negative view of the world.",It is not true that our problems are over. We have always had the greatest potential to solve problems when we can solve them by finding solutions to our problems and finding them.,"If you mean that everyone should work, then the problem is not discrimination, it's the lack of integration. How about we try to find solutions that are beneficial for everyone?",kp,kp,tp,tk,kp,5,4,5,1,1,1,1,3,0,0,5,3,5,1,0,2,2,5,0,0,2,1,5,0,0,one
"If people came here to work, our problems would be over.",MIGRANTS,Why would it be our problem to have a job that pays well?,"The problem is not about people coming here to work, it is about the integration of people who have contributed to our society.","i don't think it's fair to blame people for their problems, but i think it would be a shame to have a negative view of the world.",It is not true that our problems are over. We have always had the greatest potential to solve problems when we can solve them by finding solutions to our problems and finding them.,"If you mean that everyone should work, then the problem is not discrimination, it's the lack of integration. How about we try to find solutions that are beneficial for everyone?",kp,kp,tp,tk,kp,5,5,5,1,1,2,1,2,0,0,4,4,5,1,0,1,1,5,0,0,2,1,5,0,0,two
We should stop gays. They are a shame.,LGBT+,"There are many homosexuals who are proud of their sexuality, and many heterosexuals who are happy with their homosexuality. We can also not accept that some people are just born this way.","I don't know about you, but I don't think it is a shame to stop people from loving someone they love, regardless of their sexual orientation.","i don't think it's right to ban gays. gay people should be allowed to live their lives as they wish, regardless of their sexual orientation, and they should be accepted as anyone else. that is why we should try to promote a more inclusive society, and to promote the same ideas that we are trying to create a better society, instead of spreading hate against them.","Gay people do not exist as one. They are just a group of people who celebrate love, friendship and love, and everyone is different.",It is not true that gays are a burden to society. The vast majority of LGBTI people are contributing members of our society. How can you say otherwise?,tp,bs,tk,tp,tk,5,3,5,1,1,4,2,5,1,0,1,2,5,1,0,2,2,5,1,0,5,3,4,1,0,one
We should stop gays. They are a shame.,LGBT+,"There are many homosexuals who are proud of their sexuality, and many heterosexuals who are happy with their homosexuality. We can also not accept that some people are just born this way.","I don't know about you, but I don't think it is a shame to stop people from loving someone they love, regardless of their sexual orientation.","i don't think it's right to ban gays. gay people should be allowed to live their lives as they wish, regardless of their sexual orientation, and they should be accepted as anyone else. that is why we should try to promote a more inclusive society, and to promote the same ideas that we are trying to create a better society, instead of spreading hate against them.","Gay people do not exist as one. They are just a group of people who celebrate love, friendship and love, and everyone is different.",It is not true that gays are a burden to society. The vast majority of LGBTI people are contributing members of our society. How can you say otherwise?,tp,bs,tk,tp,tk,5,3,5,1,0,2,2,4,0,0,1,1,5,0,0,1,2,4,0,0,5,5,4,1,1,two
We must not allow people to come into our country and start killing people. They are all terrorists.,MUSLIMS,"Not all Muslims are terrorists. But if we are to count the ones that are a threat to us, then you would need to include all the terrorists.","Terrorism is a problem in many parts of the world, and there is no evidence that all Muslims are terrorists.","this is not true. i don't think that all muslims are terrorists. i'm not sure what you're talking about, but i can't see how how you can tell me that they are a threat to our country.","There are many terrorists in our country, and they are not all terrorists.","No, not all Muslims are terrorists. We should have a strict policy towards Muslims, not against Muslims.",kp,tk,tp,tp,bs,2,2,4,1,0,1,2,3,1,0,5,3,5,1,1,3,2,5,1,0,5,2,5,1,0,one
We must not allow people to come into our country and start killing people. They are all terrorists.,MUSLIMS,"Not all Muslims are terrorists. But if we are to count the ones that are a threat to us, then you would need to include all the terrorists.","Terrorism is a problem in many parts of the world, and there is no evidence that all Muslims are terrorists.","this is not true. i don't think that all muslims are terrorists. i'm not sure what you're talking about, but i can't see how how you can tell me that they are a threat to our country.","There are many terrorists in our country, and they are not all terrorists.","No, not all Muslims are terrorists. We should have a strict policy towards Muslims, not against Muslims.",kp,tk,tp,tp,bs,2,4,5,1,0,2,2,5,1,0,5,4,5,1,1,3,2,5,1,0,3,4,4,1,0,two
Islam is about promoting death by stoning for blasphemy.,MUSLIMS,Do you know what the blasphemy laws are? If you do you are welcome to join our Church of tolerance and peace.,The Quran does not promote death by stoning for blasphemy.,"the vast majority of muslims in the uk are good people, and this is what makes you think they are different from us. what exactly do you mean by'a religion'is the'religion of peace '?","Why do you think so? Isn't it about teaching people to believe that the way they are supposed to live, rather than about condemning those they hate? So it is a fact that all Muslims are equally interested in learning about Islam and Islam.",What about the Holocaust? What about slavery? What about other genocides? What about the oppression of women? Why should you tell people what to believe?,tk,tk,tk,tp,tk,2,2,5,0,0,2,2,3,0,0,5,2,5,1,1,2,2,5,1,0,2,2,5,1,0,one
Islam is about promoting death by stoning for blasphemy.,MUSLIMS,Do you know what the blasphemy laws are? If you do you are welcome to join our Church of tolerance and peace.,The Quran does not promote death by stoning for blasphemy.,"the vast majority of muslims in the uk are good people, and this is what makes you think they are different from us. what exactly do you mean by'a religion'is the'religion of peace '?","Why do you think so? Isn't it about teaching people to believe that the way they are supposed to live, rather than about condemning those they hate? So it is a fact that all Muslims are equally interested in learning about Islam and Islam.",What about the Holocaust? What about slavery? What about other genocides? What about the oppression of women? Why should you tell people what to believe?,tk,tk,tk,tp,tk,2,1,5,0,0,2,3,5,1,1,5,2,5,1,0,1,1,5,0,0,1,3,5,0,0,two
"Women should be confined to the home, to raise the children.",WOMEN,Women have every right to choose their own life.,"Women have the right to choose for their own life, and to be part of the family.","women are human beings with full human rights, and they should be protected from discrimination and abuse. why should they be allowed to choose their own own life?","Women have the right to choose their own lives, not just to stay home, but to raise their children.","The right to have a normal relationship with a man and be valued for what you are, regardless of your gender is fundamental.",bs,tp,kp,tp,kp,5,3,5,1,1,3,2,5,1,0,4,2,5,1,0,5,3,5,1,0,2,3,5,1,0,one
"Women should be confined to the home, to raise the children.",WOMEN,Women have every right to choose their own life.,"Women have the right to choose for their own life, and to be part of the family.","women are human beings with full human rights, and they should be protected from discrimination and abuse. why should they be allowed to choose their own own life?","Women have the right to choose their own lives, not just to stay home, but to raise their children.","The right to have a normal relationship with a man and be valued for what you are, regardless of your gender is fundamental.",bs,tp,kp,tp,kp,1,2,5,0,0,3,4,5,1,0,3,3,5,1,0,5,2,5,1,0,4,4,5,1,1,two
We should  accept the fact that blacks are inferior.,POC,"It is not true that we have to accept that black people are inferior to everything. They are also humans, and we have to respect their rights.",It is not true that blacks are inferior. We are all born equal in the eyes of God.,"it is not true that black people are inferior to white people. it is more important to understand that all people are superior to us in the eyes of the laws of humanity, and that's why they are created equal to us.",It is not true. What is the point of denying that blacks are inferior? We should accept that people of color have different talents.,"I don't think it is good to treat black people with disrespect, just as it is not good to treat a Jew with disrespect. We all have to live with the prejudice of some.",tk,kp,tp,kp,kp,4,2,5,1,0,2,2,5,1,0,5,2,5,1,1,5,2,4,1,0,3,2,4,1,0,one
We should  accept the fact that blacks are inferior.,POC,"It is not true that we have to accept that black people are inferior to everything. They are also humans, and we have to respect their rights.",It is not true that blacks are inferior. We are all born equal in the eyes of God.,"it is not true that black people are inferior to white people. it is more important to understand that all people are superior to us in the eyes of the laws of humanity, and that's why they are created equal to us.",It is not true. What is the point of denying that blacks are inferior? We should accept that people of color have different talents.,"I don't think it is good to treat black people with disrespect, just as it is not good to treat a Jew with disrespect. We all have to live with the prejudice of some.",tk,kp,tp,kp,kp,4,4,5,1,1,1,2,5,0,0,3,2,5,1,0,4,3,5,1,0,2,3,4,1,0,two
"I have heard that Jews can't be bothered work, I believe that it depends on their inferior race.",JEWS,"For all the alleged discrimination against Jews you may point out that there is no such thing as a ""inferior race"" in the world. The notion of Jews as if they were something inferior is a myth, as it is for any ethnicity.",The idea that Jews are inferior is a myth that has been used to justify a lot of discrimination and violence. This is just a myth perpetuated by the anti-Semites.,why do you think it is a myth that jews are a part of our society? are you aware of the vast majority of immigrants in the u. s.? do you have any proof for this?,"You could argue that working is not a matter of race, and that Jews have the power to work.","It depends on who you talk to. Do you know Jews from an objective or a personal level? If the Jews are treated as a problem, it's because the problem is a problem. That's all.",tk,tp,tp,tp,tk,2,2,3,0,0,3,2,5,1,0,5,3,5,1,0,5,3,5,1,1,2,2,5,0,0,one
"I have heard that Jews can't be bothered work, I believe that it depends on their inferior race.",JEWS,"For all the alleged discrimination against Jews you may point out that there is no such thing as a ""inferior race"" in the world. The notion of Jews as if they were something inferior is a myth, as it is for any ethnicity.",The idea that Jews are inferior is a myth that has been used to justify a lot of discrimination and violence. This is just a myth perpetuated by the anti-Semites.,why do you think it is a myth that jews are a part of our society? are you aware of the vast majority of immigrants in the u. s.? do you have any proof for this?,"You could argue that working is not a matter of race, and that Jews have the power to work.","It depends on who you talk to. Do you know Jews from an objective or a personal level? If the Jews are treated as a problem, it's because the problem is a problem. That's all.",tk,tp,tp,tp,tk,5,5,5,1,0,3,2,5,0,0,4,5,5,1,0,5,5,5,1,1,1,2,4,0,0,two
"Multiculturalism is the death of western societies, we should get rid of minorities.",MIGRANTS,"In our modern society, the majority of the people is composed of diverse people, and this is the best case scenario, it means that the diversity is positive.","Multiculturalism is a way to improve the quality of life for all, and it is not the death of western societies.","this is not true. we are all born equal in the eyes of the law, and we can't be excluded from society. this is why we don't want to divide our society.","The ""disease of western societies"" is not the death of cultures, but a threat to human rights.","I don't think it's a good idea to ""get rid of minorities"" just because they are different from us.",tp,bs,kp,tk,kp,5,2,5,1,0,2,2,5,1,0,5,3,5,1,1,2,2,4,0,0,4,2,4,1,0,one
